Laptop_name,Price,Rating,Reviews,Processor
HP MSO 2024 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0467TU Thin and Lig...,54990,4.2,125 Ratings & 7 Reviews,Intel Core i5 Processor (13th Gen)
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,17990,3.7,"1,652 Ratings & 202 Reviews","Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage"
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,47990,4.5,"9,298 Ratings & 807 Reviews",Intel Core i5 Processor (13th Gen)
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,49990,4.3,"2,273 Ratings & 167 Reviews",Intel Core i5 Processor (13th Gen)
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,41990,4.2,569 Ratings & 44 Reviews,Intel Core i3 Processor (13th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,49890,4.3,48 Ratings & 3 Reviews,Intel Core i5 Processor (12th Gen)
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 Thi...,40990,4,697 Ratings & 53 Reviews,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and...,41990,4,211 Ratings & 16 Reviews,AMD Ryzen 5 Quad Core Processor
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,46990,4.1,984 Ratings & 94 Reviews,Intel Core i5 Processor (12th Gen)
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,43990,4.2,385 Ratings & 31 Reviews,Intel Core i5 Processor (13th Gen)
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,43099,4.2,473 Ratings & 32 Reviews,AMD Ryzen 7 Octa Core Processor
Lenovo Lenovo V15 G3 IAP Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA073IN ...,49990,4.1,117 Ratings & 9 Reviews,Intel Core i7 Processor (12th Gen)
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,45990,4.2,385 Ratings & 31 Reviews,Intel Core i5 Processor (13th Gen)
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5541WS ...,41990,4.2,"1,179 Ratings & 81 Reviews",AMD Ryzen 5 Quad Core Processor
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK521...,46990,4.4,"2,855 Ratings & 236 Reviews",AMD Ryzen 5 Quad Core Processor
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK523...,46990,4.4,"2,855 Ratings & 236 Reviews",AMD Ryzen 5 Quad Core Processor
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,43990,4.2,"8,154 Ratings & 467 Reviews",Intel Core i5 Processor (12th Gen)
HP AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0476AU Thin and Light Laptop,48490,4.1,162 Ratings & 13 Reviews,AMD Ryzen 7 Octa Core Processor
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...,41990,4.4,"4,114 Ratings & 452 Reviews",AMD Ryzen 3 Quad Core Processor
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,43990,4.3,291 Ratings & 21 Reviews,AMD Ryzen 5 Hexa Core Processor
Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,49990,4.1,"1,529 Ratings & 128 Reviews",Intel Core i7 Processor (12th Gen)
ASUS Vivobook 15 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ1765WS Thi...,45990,4.3,327 Ratings & 19 Reviews,Intel Core i5 Processor (13th Gen)
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...",46990,4.3,64 Ratings & 4 Reviews,Intel Core i5 Processor (12th Gen)
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,34990,4.2,569 Ratings & 44 Reviews,Intel Core i3 Processor (13th Gen)
HP Intel Core i5 13th Gen 1334U - (12 GB/512 GB SSD/Windows 11 Home) 15-fd0575TU Thin and Light Laptop,49980,N/A,N/A,Intel Core i5 Processor (13th Gen)
DELL 15 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,47990,4.3,226 Ratings & 11 Reviews,Intel Core i5 Processor (13th Gen)
HP MSO 2024 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0467TU Thin and Lig...,54990,4.2,125 Ratings & 7 Reviews,Intel Core i5 Processor (13th Gen)
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,18990,4.1,708 Ratings & 130 Reviews,Intel Celeron Quad Core Processor (12th Gen)
Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,47990,4.1,984 Ratings & 94 Reviews,Intel Core i5 Processor (12th Gen)
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U - (16 GB/512 GB SS...,37990,4.2,569 Ratings & 44 Reviews,Intel Core i3 Processor (13th Gen)
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,17990,3.7,"1,652 Ratings & 202 Reviews","Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,49890,4.2,"2,436 Ratings & 124 Reviews",Intel Core i5 Processor (12th Gen)
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,37990,4.1,"1,374 Ratings & 122 Reviews",AMD Ryzen 5 Hexa Core Processor
HP 15 G9 (2025) AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15 G9 Thin and Light ...,42611,3.9,115 Ratings & 10 Reviews,AMD Ryzen 5 Hexa Core Processor
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,50990,4.2,"7,704 Ratings & 362 Reviews",Intel Core i5 Processor (12th Gen)
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,48990,4.2,"3,805 Ratings & 306 Reviews",Intel Core i5 Processor (12th Gen)
MSI Modern 14 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO Busine...,49990,4.1,11 Ratings & 3 Reviews,Intel Core i7 Processor (12th Gen)
HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light L...,49000,4,591 Ratings & 46 Reviews,Intel Core i5 Processor (12th Gen)
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,46990,4.2,"8,154 Ratings & 467 Reviews",Intel Core i5 Processor (12th Gen)
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,41990,4.2,"5,806 Ratings & 475 Reviews",AMD Ryzen 3 Quad Core Processor
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,39990,4.2,"1,179 Ratings & 81 Reviews",AMD Ryzen 5 Quad Core Processor
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,45990,4.2,"8,154 Ratings & 467 Reviews",Intel Core i5 Processor (12th Gen)
HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s-eq2305AU Thin and Light Laptop,44500,4.3,"3,667 Ratings & 267 Reviews",AMD Ryzen 5 Hexa Core Processor
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK323...,40469,4.4,"4,114 Ratings & 452 Reviews",AMD Ryzen 3 Quad Core Processor
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/1 TB SSD/Windows 11 Home) AL15-52 Thin and Ligh...,38990,4.1,883 Ratings & 74 Reviews,Intel Core i3 Processor (12th Gen)
Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,49990,4,322 Ratings & 33 Reviews,AMD Ryzen 7 Octa Core Processor
DELL 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,47990,4.1,369 Ratings & 17 Reviews,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim ...,47390,4.2,123 Ratings & 9 Reviews,Intel Core i5 Processor (12th Gen)
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,44990,4.2,"7,704 Ratings & 362 Reviews",Intel Core i5 Processor (12th Gen)
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,41990,4.2,"1,179 Ratings & 81 Reviews",AMD Ryzen 5 Quad Core Processor
HP MSO 2024 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0467TU Thin and Lig...,54990,4.2,125 Ratings & 7 Reviews,Intel Core i5 Processor (13th Gen)
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,18990,4.1,708 Ratings & 130 Reviews,Intel Celeron Quad Core Processor (12th Gen)
Lenovo Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) G3 IAP Thin and Light Laptop,41990,4.3,70 Ratings & 7 Reviews,Intel Core i5 Processor (12th Gen)
Acer Aspire 5 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) A515-58M-56E0 Thin ...,48990,4.3,41 Ratings & 3 Reviews,Intel Core i5 Processor (13th Gen)
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2223AU Thin and Light Laptop,46890,4.3,"1,169 Ratings & 76 Reviews",AMD Ryzen 5 Hexa Core Processor
HP 15s AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0028AU Thin and Light Lapt...,49900,4.1,228 Ratings & 14 Reviews,AMD Ryzen 5 Quad Core Processor
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,17990,3.7,"1,652 Ratings & 202 Reviews","Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage"
HP Intel Core i5 12th Gen 1235U - (8 GB/1 TB SSD/Windows 11 Home) 15s-fq5331TU Thin and Light Laptop,48985,4.2,72 Ratings & 2 Reviews,Intel Core i5 Processor (12th Gen)
ASUS Vivobook 15 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ542WS Thin and ...,47999,3.1,17 Ratings & 2 Reviews,Intel Core i5 Processor (12th Gen)
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,48990,4.3,"7,654 Ratings & 596 Reviews",Intel Core i5 Processor (11th Gen)
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1212IN...,44990,4.4,287 Ratings & 28 Reviews,Intel Core i5 Processor (12th Gen)
HP 15s Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0018TU Thin and Light Lap...,47890,4.2,511 Ratings & 32 Reviews,Intel Core i3 Processor (13th Gen)
"ASUS ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Intel Core i5 13th Gen 1335U - (16 GB/512...",48990,N/A,N/A,Intel Core i5 Processor (13th Gen)
Lenovo ThinkBook 15 G4 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G4 IAP Th...,48990,4.1,198 Ratings & 18 Reviews,Intel Core i5 Processor (12th Gen)
HP AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 14-hr0001AU Thin and Light Laptop,48990,4.1,28 Ratings & 2 Reviews,AMD Ryzen 5 Quad Core Processor
Lenovo ThinkBook 15 G5 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Think Book 15 G...,49999,4.3,185 Ratings & 15 Reviews,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 ...,42690,4,5 Ratings & 3 Reviews,AMD Ryzen 5 Hexa Core Processor
MSI AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-283IN Business Lapt...,44990,4.2,22 Ratings & 5 Reviews,AMD Ryzen 5 Hexa Core Processor
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light...,46990,4.3,733 Ratings & 49 Reviews,Intel Core i7 Processor (12th Gen)
HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15s-EQ2084AU Laptop,49150,4.1,38 Ratings & 3 Reviews,AMD Ryzen 7 Octa Core Processor
Acer Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) AL15-51 Laptop,45990,4.1,58 Ratings & 3 Reviews,Intel Core i5 Processor (11th Gen)
Acer Aspire 5 15 Intel Core i3 13th Gen 31305 U - (8 GB/512 GB SSD/Windows 11 Home) A515-58P Thin and ...,48500,4.1,27 Ratings & 3 Reviews,Intel Core i3 Processor (13th Gen)
